geo_code,popchange
"1001101",-4.6
"1001105",-27.9
"1001113",-25.3
"1001120",-25.7
"1001124",-8.1
"1001126",-7.2
"1001131",-26.4
"1001136",13.7
"1001140",-23.5
"1001144",-19.4
"1001149",-12.1
"1001155",-8.9
"1001169",-6.3
"1001174",-22.8
"1001178",-8.9
"1001181",-3.6
"1001186",-17.3
"1001192",-20.1
"1001197",-18.3
"1001203",-.8
"1001207",-33.3
"1001214",-29.2
"1001219",-20.1
"1001225",.8
"1001228",-20.2
"1001234",-28
"1001240",-6.5
"1001254",-14
"1001259",-15.7
"1001263",41.2
"1001267",12.7
"1001270",-1.3
"1001274",-5
"1001277",-3.8
"1001281",-9
"1001285",-6.9
"1001289",3.8
"1001293",-1
"1001298",7.1
"1001304",-1.2
"1001308",33.2
"1001312",6.2
"1001316",-1.3
"1001321",-6.2
"1001325",-10.3
"1001328",11.7
"1001332",-6.6
"1001335",-13.7
"1001339",-9.1
"1001343",-2.2
"1001347",-15.3
"1001352",-11.2
"1001357",-3.5
"1001361",-1.7
"1001365",-.3
"1001370",.3
"1001374",27.2
"1001375",-5
"1001379",1.9
"1001385",-4.4
"1001391",
"1001394",-16.4
"1001396",3.2
"1001405",43.8
"1001409",7.5
"1001415",-1.7
"1001421",18.2
"1001426",.9
"1001429",8.3
"1001434",.9
"1001437",-3.7
"1001441",-14.3
"1001446",-5.5
"1001452",-8.6
"1001456",-9.8
"1001461",-6.2
"1001464",-4.6
"1001469",-.6
"1001472",-.5
"1001485",13.1
"1001490",-6
"1001494",-3
"1001504",12
"1001505",6.3
"1001507",20
"1001509",17.8
"1001511",6.1
"1001512",4.7
"1001517",40.6
"1001519",5.5
"1001542",-1.6
"1001551",1
"1001557",19
"1001559",10.2
"1001565",-11.5
"1002001",-5.6
"1002002",-1.9
"1002005",-2.4
"1002006",-1.5
"1002008",-7.8
"1002009",0
"1002011",-4.7
"1002012",-9.2
"1002013",-15.5
"1002014",-10.4
"1002015",14.1
"1002016",-37.7
"1002017",3.6
"1002018",-1.1
"1002019",-6.4
"1002021",-5.7
"1002022",-6.1
"1002023",7.7
"1002024",1.3
"1002025",-5.1
"1002026",-32.3
"1002027",-.7
"1002029",
"1002030",-1.5
"1002031",-13.5
"1002033",-9.7
"1002034",-2.3
"1002036",-1.1
"1002037",-9
"1002039",-13
"1002040",2.2
"1002041",-10.5
"1002044",-64.3
"1002048",-11.3
"1002055",-7.1
"1003001",
"1003002",-14.5
"1003003",-7.6
"1003004",-2.9
"1003005",-3.7
"1003006",
"1003008",-8.8
"1003009",-100
"1003010",-16.5
"1003011",-9.8
"1003012",-32.5
"1003014",-30.1
"1003018",-8.8
"1003019",-3.5
"1003020",-8.6
"1003021",-14.9
"1003024",136.2
"1003026",-54.7
"1003028",-8.9
"1003031",-.1
"1003032",-13.8
"1003033",-7.4
"1003034",-3.4
"1003038",-31.8
"1003042",446.5
"1003045",-78.4
"1003801",6.1
"1004001",-3.9
"1004006",-7.2
"1004011",-13.8
"1004013",-3.1
"1004016",-10
"1004017",9.3
"1004018",-4.3
"1004019",2
"1004020",4.4
"1004021",-1.6
"1004022",-5.8
"1004033",6.3
"1004037",-3.3
"1004042",15.8
"1005001",4
"1005003",-22.6
"1005004",3.5
"1005005",-13.6
"1005006",-8.3
"1005007",.5
"1005008",-6.5
"1005009",-7.2
"1005010",30.8
"1005011",-6.2
"1005012",5.4
"1005014",-7.9
"1005015",1.2
"1005016",36.5
"1005017",20.7
"1005018",-1
"1005019",0
"1005020",-9.3
"1005022",-4.4
"1005023",2.2
"1005024",-9.7
"1005025",1.9
"1005028",17.3
"1005030",10.7
"1005033",4.4
"1005035",.3
"1006001",2.8
"1006003",.1
"1006008",-33.7
"1006009",11.1
"1006011",6.9
"1006012",3.8
"1006014",13.3
"1006015",3.1
"1006017",1.2
"1006019",-1.7
"1006021",.2
"1006022",-1.4
"1006026",-2.5
"1006028",-1
"1006029",-18.3
"1006031",-8.5
"1007001",-4.2
"1007006",-7.2
"1007009",4.9
"1007013",14.4
"1007014",-22.2
"1007015",-28.3
"1007016",-3.7
"1007018",-15.7
"1007020",10.1
"1007022",-8.5
"1007023",-4.6
"1007024",-8.7
"1007025",-16.4
"1007026",-36.1
"1007027",-8.3
"1007028",-9
"1007031",-1.8
"1007032",-4.6
"1007036",-7.3
"1007037",-6.3
"1007038",-41.6
"1007039",-.8
"1007040",22.1
"1007041",-3.5
"1007042",-3.4
"1007043",7.5
"1007044",2.9
"1007045",-27.5
"1007046",-21.8
"1007047",-4.2
"1007048",-27.6
"1007049",1.1
"1007050",3.5
"1007051",66.7
"1007054",-16.4
"1007056",-16.3
"1007057",-2.2
"1007060",-8.9
"1007067",-11.2
"1008001",-17.9
"1008004",2.3
"1008006",-2.9
"1008008",-4.4
"1008011",-2.1
"1008020",-13.7
"1008021",-12
"1008022",-12
"1008023",-17.7
"1008024",-14.3
"1008025",-3.8
"1008026",.5
"1008029",-1
"1008031",-4.5
"1008032",-2.5
"1008033",-12.6
"1008035",-7.3
"1008036",-24.7
"1008037",5.3
"1008038",-8.4
"1008039",0
"1008040",-4.3
"1008042",-3.5
"1008043",-1.7
"1008044",5.3
"1008045",-9.5
"1008046",-23.1
"1008047",-2.5
"1008048",-17.2
"1008049",-4.6
"1008052",-50
"1008053",-5
"1008054",-3
"1008055",-15.8
"1008056",-20
"1008058",40.2
"1008059",-8.3
"1008060",-4
"1008061",5.2
"1008062",6.5
"1008063",-6.9
"1008064",-36.2
"1008065",-10.5
"1008066",-18
"1008067",-6.5
"1008069",.7
"1008070",-15.2
"1008071",-7.2
"1008072",-7.9
"1008073",0
"1008074",-34.8
"1008075",-17.2
"1008076",-5.9
"1008077",-11.3
"1008078",-12.4
"1008079",7.5
"1008091",-8.2
"1008092",-1.1
"1008093",-10.6
"1008095",-4
"1008096",-4.5
"1008098",-2.1
"1009001",-35.3
"1009004",-5.7
"1009007",-4.2
"1009008",-19.6
"1009009",-45.6
"1009010",-4.6
"1009011",-20.8
"1009012",-2
"1009013",.1
"1009015",-8
"1009016",-3.7
"1009017",23.5
"1009018",-13.6
"1009019",-6.7
"1009020",-16.5
"1009021",-9.1
"1009022",-6
"1009023",5.5
"1009024",14.1
"1009026",32.8
"1009028",-9.6
"1009029",-2.3
"1009030",-6.2
"1009031",-8.7
"1009032",-.8
"1009034",-60
"1009035",-19
"1009037",-57.1
"1009039",-9.8
"1009041",-55.6
"1009042",-25.3
"1009047",-40.2
"1009048",-9.2
"1010001",-29
"1010002",-7.3
"1010003",-14.5
"1010004",-15
"1010005",-4.2
"1010006",-14.3
"1010007",-6.1
"1010008",-26.5
"1010009",-16.6
"1010010",-17.9
"1010011",-8.2
"1010012",-6.5
"1010013",-15.8
"1010020",-6.9
"1010022",12.4
"1010025",-.3
"1010029",-6.9
"1010032",1.8
"1010034",7
"1010042",
"1010801",31.9
"1010802",24.7
"1011005",
"1011010",13.8
"1011015",-5.9
"1011020",-.3
"1011030",4.9
"1011035",14.9
"1011040",
"1101001",-2.8
"1101002",-10.6
"1101004",-22.3
"1101006",1.6
"1101008",-4.4
"1101009",-6.4
"1101011",11
"1101014",-2.9
"1101016",-3
"1101018",5.2
"1101019",5
"1101021",-11.2
"1101022",-.3
"1101024",6.5
"1101026",-4.6
"1101028",-4.8
"1101029",-7.6
"1101031",-4
"1101032",-7.1
"1101034",-8
"1101036",-4.8
"1101038",-10
"1101039",-4.4
"1101041",-8.4
"1101042",-4.3
"1101044",2
"1101046",-8.8
"1101048",2.3
"1101049",-9.7
"1101050",60
"1101051",4.2
"1102001",-13
"1102004",-3.8
"1102006",-5.4
"1102008",-1.2
"1102009",-.4
"1102012",3.3
"1102014",6.7
"1102026",1.1
"1102028",7.3
"1102029",9.6
"1102030",19.5
"1102031",-4.3
"1102032",35.1
"1102033",-7.1
"1102034",-2.3
"1102036",-2.6
"1102037",-6.8
"1102038",6.1
"1102039",-7.1
"1102040",-.9
"1102041",-3.3
"1102042",19.6
"1102043",-7.8
"1102044",5.3
"1102045",-2.2
"1102046",-2.7
"1102048",1.2
"1102049",12.6
"1102050",-4.1
"1102051",.6
"1102052",9.4
"1102054",2.2
"1102056",-2.4
"1102057",8
"1102058",7.9
"1102059",-13.8
"1102065",11.6
"1102070",7.6
"1102075",7.4
"1102080",21.1
"1102085",10.4
"1103001",.2
"1103005",-4.6
"1103006",-1.9
"1103008",4
"1103009",3.4
"1103010",12.1
"1103011",1.8
"1103012",.8
"1103013",2.9
"1103014",.7
"1103016",-.1
"1103018",2.4
"1103019",-2.7
"1103023",-.3
"1103024",13
"1103025",1.7
"1103026",-7.3
"1103027",.4
"1103028",4.4
"1103029",2
"1103031",.4
"1103032",.6
"1103033",-1.8
"1103034",-.9
"1103035",16.3
"1103036",-4.6
"1103038",4.6
"1103041",-1.8
"1103042",-5.7
"1103044",-15.5
"1103046",-10.8
"1103048",-16
"1103049",6.7
"1103051",-6.4
"1103052",5
"1103054",-4.3
"1103056",-10.2
"1103057",-36.3
"1103058",-5.1
"1103059",2.8
"1103062",-1.7
"1201001",-4.6
"1201004",-4.7
"1201006",-8.7
"1201008",-10.3
"1201009",-9
"1202001",-4.7
"1202004",-1.9
"1202006",-5.6
"1202040",1.3
"1203001",-5.6
"1203004",-6.5
"1203006",2.9
"1203009",1
"1204009",-33.3
"1204010",-2.3
"1204015",65
"1205001",-3.5
"1205002",-100
"1205004",-5.3
"1205006",-100
"1205008",8.3
"1205009",-1.5
"1205012",-2.4
"1205014",-1.4
"1205016",-4.4
