geo_code,total
"1001101","62"
"1001105","160"
"1001113","570"
"1001120","81"
"1001124","1489"
"1001126","506"
"1001131","310"
"1001136","323"
"1001140","65"
"1001144","83"
"1001149","465"
"1001155","511"
"1001169","340"
"1001174","233"
"1001178","439"
"1001181","212"
"1001186","153"
"1001192","115"
"1001197","358"
"1001203","506"
"1001207","110"
"1001214","131"
"1001219","247"
"1001225","120"
"1001228","308"
"1001234","344"
"1001240","3643"
"1001254","270"
"1001259","757"
"1001263","298"
"1001267","534"
"1001270","990"
"1001274","247"
"1001277","452"
"1001281","282"
"1001285","720"
"1001289","468"
"1001293","1175"
"1001298","916"
"1001304","2971"
"1001308","293"
"1001312","704"
"1001316","223"
"1001321","546"
"1001325","375"
"1001328","210"
"1001332","484"
"1001335","346"
"1001339","2017"
"1001343","661"
"1001347","398"
"1001352","389"
"1001357","408"
"1001361","695"
"1001365","1764"
"1001370","4739"
"1001374","271"
"1001375","396"
"1001379","3131"
"1001385","1594"
"1001391","0"
"1001394","275"
"1001396","2622"
"1001405","46"
"1001409","5818"
"1001415","956"
"1001421","1087"
"1001426","562"
"1001429","1396"
"1001434","655"
"1001437","761"
"1001441","317"
"1001446","750"
"1001452","724"
"1001456","651"
"1001461","697"
"1001464","636"
"1001469","1083"
"1001472","1995"
"1001485","24848"
"1001490","344"
"1001494","2346"
"1001504","7366"
"1001505","1866"
"1001507","1457"
"1001509","7397"
"1001511","2098"
"1001512","397"
"1001517","17695"
"1001519","106172"
"1001542","24284"
"1001551","924"
"1001557","1283"
"1001559","1179"
"1001565","115"
"1002001","269"
"1002002","555"
"1002005","2424"
"1002006","130"
"1002008","1244"
"1002009","10"
"1002011","672"
"1002012","286"
"1002013","175"
"1002014","233"
"1002015","97"
"1002016","139"
"1002017","172"
"1002018","1442"
"1002019","2415"
"1002021","545"
"1002022","260"
"1002023","363"
"1002024","5506"
"1002025","333"
"1002026","136"
"1002027","285"
"1002029","0"
"1002030","260"
"1002031","596"
"1002033","288"
"1002034","301"
"1002036","530"
"1002037","191"
"1002039","147"
"1002040","137"
"1002041","470"
"1002044","15"
"1002048","595"
"1002055","130"
"1003001","5"
"1003002","141"
"1003003","618"
"1003004","409"
"1003005","182"
"1003006","5"
"1003008","1711"
"1003009","0"
"1003010","263"
"1003011","450"
"1003012","179"
"1003014","265"
"1003018","789"
"1003019","1233"
"1003020","117"
"1003021","114"
"1003024","385"
"1003026","280"
"1003028","1464"
"1003031","727"
"1003032","619"
"1003033","651"
"1003034","4170"
"1003038","103"
"1003042","388"
"1003045","118"
"1003801","920"
"1004001","1810"
"1004006","1298"
"1004011","728"
"1004013","1207"
"1004016","830"
"1004017","59"
"1004018","1875"
"1004019","6719"
"1004020","1815"
"1004021","598"
"1004022","1973"
"1004033","949"
"1004037","532"
"1004042","447"
"1005001","232"
"1005003","470"
"1005004","4995"
"1005005","323"
"1005006","221"
"1005007","187"
"1005008","457"
"1005009","474"
"1005010","632"
"1005011","408"
"1005012","3352"
"1005014","605"
"1005015","407"
"1005016","101"
"1005017","1412"
"1005018","19886"
"1005019","5"
"1005020","1681"
"1005022","546"
"1005023","660"
"1005024","510"
"1005025","649"
"1005028","231"
"1005030","1428"
"1005033","785"
"1005035","347"
"1006001","295"
"1006003","912"
"1006008","216"
"1006009","11054"
"1006011","622"
"1006012","791"
"1006014","452"
"1006015","397"
"1006017","13725"
"1006019","3341"
"1006021","809"
"1006022","3008"
"1006026","793"
"1006028","99"
"1006029","94"
"1006031","696"
"1007001","2055"
"1007006","1272"
"1007009","1225"
"1007013","6036"
"1007014","498"
"1007015","137"
"1007016","338"
"1007018","102"
"1007020","337"
"1007022","1827"
"1007023","3589"
"1007024","398"
"1007025","61"
"1007026","46"
"1007027","111"
"1007028","971"
"1007031","2714"
"1007032","556"
"1007036","483"
"1007037","283"
"1007038","232"
"1007039","132"
"1007040","83"
"1007041","219"
"1007042","482"
"1007043","274"
"1007044","2122"
"1007045","58"
"1007046","136"
"1007047","1984"
"1007048","147"
"1007049","1031"
"1007050","1161"
"1007051","25"
"1007054","305"
"1007056","144"
"1007057","673"
"1007060","2265"
"1007067","174"
"1008001","165"
"1008004","545"
"1008006","1053"
"1008008","3105"
"1008011","737"
"1008020","421"
"1008021","658"
"1008022","685"
"1008023","204"
"1008024","257"
"1008025","427"
"1008026","211"
"1008029","203"
"1008031","2043"
"1008032","272"
"1008033","853"
